"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6816","TC01 - Verify Location Lifecycle: Create, Verify in Table, and Delete","OrangeHRM_E2E_Suite","Wed Dec 24 22:44:06 UTC 2025","passed","Wed Dec 24 22:44:13 UTC 2025","project_orangehrm.Test.AdminOrganizationTest","Step1_Admin_Foundation","project_orangehrm.Test.AdminOrganizationTest","verifyLocation_Lifecycle_Success"
"","7953","TC04 - Verify error when creating a duplicate Location Name","OrangeHRM_E2E_Suite","Wed Dec 24 22:44:34 UTC 2025","passed","Wed Dec 24 22:44:42 UTC 2025","project_orangehrm.Test.AdminOrganizationTest","Step1_Admin_Foundation","project_orangehrm.Test.AdminOrganizationTest","verifyLocation_DuplicateEntry_ShowError"
"","1349","TC11 - Verify validation error for empty License Name","OrangeHRM_E2E_Suite","Wed Dec 24 22:47:28 UTC 2025","passed","Wed Dec 24 22:47:30 UTC 2025","project_orangehrm.Test.Admin_Qualifications_Test","Step1_Admin_Foundation","project_orangehrm.Test.Admin_Qualifications_Test","verifyLicenses_EmptyFields_ShowError"
"","1485","TC08 - Verify Termination Reason Validation","OrangeHRM_E2E_Suite","Wed Dec 24 22:53:27 UTC 2025","passed","Wed Dec 24 22:53:29 UTC 2025","project_orangehrm.Test.PIM_Configuration_Test","Step2_PIM_Foundation","project_orangehrm.Test.PIM_Configuration_Test","verifyTerminationReason_EmptyFields_ShowError"
"","1262","TC02 - Negative: Verify error message when logging in with invalid credentials","OrangeHRM_E2E_Suite","Wed Dec 24 22:40:46 UTC 2025","passed","Wed Dec 24 22:40:47 UTC 2025","project_orangehrm.Test.LoginTest","Step1_Admin_Foundation","project_orangehrm.Test.LoginTest","verifyLogin_InvalidCredentials_ShowError"
"","762","TC05 - Verify Nationality Search Functionality","OrangeHRM_E2E_Suite","Wed Dec 24 22:51:29 UTC 2025","passed","Wed Dec 24 22:51:30 UTC 2025","project_orangehrm.Test.Admin_Nationalities_Test","Step1_Admin_Foundation","project_orangehrm.Test.Admin_Nationalities_Test","verifyNationality_Search_Success"
"","550","TC03 - Negative: Verify error message when required fields are empty","OrangeHRM_E2E_Suite","Wed Dec 24 22:40:48 UTC 2025","passed","Wed Dec 24 22:40:48 UTC 2025","project_orangehrm.Test.LoginTest","Step1_Admin_Foundation","project_orangehrm.Test.LoginTest","verifyLogin_EmptyFields_ShowRequiredMessage"
"","2412","TC10 - Verify Duplicate Username Error","OrangeHRM_E2E_Suite","Wed Dec 24 22:59:04 UTC 2025","passed","Wed Dec 24 22:59:06 UTC 2025","project_orangehrm.Test.AdminUserManagementTest","Step2_PIM_Foundation","project_orangehrm.Test.AdminUserManagementTest","verifyUserManagement_DuplicateUsername_ShowError"
"","5215","TC17 - Verify Work Shift Lifecycle: Create, Verify, and Delete","OrangeHRM_E2E_Suite","Wed Dec 24 22:43:24 UTC 2025","passed","Wed Dec 24 22:43:29 UTC 2025","project_orangehrm.Test.AdminJobTest","Step1_Admin_Foundation","project_orangehrm.Test.AdminJobTest","verifyWorkShift_Lifecycle_Success"
"","18273","TC02 - Verify Email Subscription Lifecycle: Add, Verify, Edit, Delete","OrangeHRM_E2E_Suite","Wed Dec 24 22:49:29 UTC 2025","passed","Wed Dec 24 22:49:47 UTC 2025","project_orangehrm.Test.Admin_Configuration_Test","Step1_Admin_Foundation","project_orangehrm.Test.Admin_Configuration_Test","verifyEmailSubscription_Lifecycle_Edit"
"","12969","TC09 - Verify Immigration Record Delete","OrangeHRM_E2E_Suite","Wed Dec 24 22:55:45 UTC 2025","broken","Wed Dec 24 22:55:58 UTC 2025","project_orangehrm.Test.PIM_EmployeeDetails_Test","Step2_PIM_Foundation","project_orangehrm.Test.PIM_EmployeeDetails_Test","verifyImmigration_Delete_Success"
"","5118","TC07 - Verify Employment Status Lifecycle: Create and Delete","OrangeHRM_E2E_Suite","Wed Dec 24 22:41:35 UTC 2025","passed","Wed Dec 24 22:41:40 UTC 2025","project_orangehrm.Test.AdminJobTest","Step1_Admin_Foundation","project_orangehrm.Test.AdminJobTest","verifyEmploymentStatus_Lifecycle_Success"
"","2161","TC08 - Verify Social Media Authentication: Add Provider Validation","OrangeHRM_E2E_Suite","Wed Dec 24 22:50:31 UTC 2025","passed","Wed Dec 24 22:50:33 UTC 2025","project_orangehrm.Test.Admin_Configuration_Test","Step1_Admin_Foundation","project_orangehrm.Test.Admin_Configuration_Test","verifySocialMedia_AddProvider_Validation"
